平安時尚百貨批發館,2017-06-05 08:59:38.894497,加厚柔軟，超吸水地墊，珊瑚絨地毯 ，止滑地毯，浴室 廚房 臥室 腳踏墊,60,http://seller.pcstore.com.tw/S196426406/C1057889937.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配80元、郵局80元、7-11純取貨60元、7-11取貨付款60元,
美國/日本GONESH綜合館,2017-06-05 08:59:39.274265,日本GONESH#4藤蔓果園空氣芳香膠(固體)78g,220,http://www.pcstore.com.tw/bbco/M07075006.htm,,
遨遊飛翔,2017-06-05 08:59:39.304815,日本原裝 ST 洗衣槽專用清潔劑 (550g) 洗衣槽清潔劑 另有愛詩庭  雞仔牌 P&G; 泡泡玉,75,http://seller.pcstore.com.tw/S142062663/C1058675686.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
丸子本舖,2017-06-05 08:59:39.729670,米妮山,1600,http://seller.pcstore.com.tw/S184037859/C1091960798.htm,免運費送到家,
遨遊飛翔,2017-06-05 08:59:39.999639,大包裝 四十八入 日本P&G; ARIEL GEL BALL 3D洗衣膠球(補充包) 抗菌防臭/自然花香/淨白消臭,310,http://seller.pcstore.com.tw/S142062663/C1042838689.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
【蟲蟲的店】百貨精品匯,2017-06-05 08:59:40.150554,矽膠透明粉撲(100元),100,http://seller.pcstore.com.tw/S147149333/C1090703959.htm,購物滿5000 元(含)以上免運費，未滿 5000 元者自付運費，宅配100元、郵局100元、7-11取貨付款60元,
U-mop 手壓式旋轉拖把 適用好神拖,2017-06-05 08:59:40.329540,1桿1桶5布 【U-mop】手壓式旋轉拖把 (可適用於好神拖) 45公分加大布盤 完全防潑水 拖把桿扣環,599,http://seller.pcstore.com.tw/S199846877/C1074726121.htm,購物滿599 元(含)以上免運費，未滿 599 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
星媽嬰幼兒生活百貨,2017-06-05 08:59:40.415230,日本長效366日 1.5倍驅蚊效果 防蚊大作戰,290,http://seller.pcstore.com.tw/S113462782/C1094040659.htm,購物滿199 元(含)以上免運費，未滿 199 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
德易購 ღ 德國代購,2017-06-05 08:59:41.072226,德易購現貨㊕１２「Denkmit」 洗衣機強力清潔錠 去汙抑菌消毒 洗衣槽清潔錠 1入,10,http://seller.pcstore.com.tw/S155322987/C1083562995.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，7-11純取貨60元、7-11取貨付款60元,
藍天小舖,2017-06-05 08:59:41.266898,[藍天小舖]實體店面~現貨供應快速出貨《韓國 立潔白》奇蹟魔俐強效除霉膏 (120G),119,http://seller.pcstore.com.tw/S194561254/C1082566284.htm,每筆訂單運費，宅配100元、郵局100元、7-11純取貨65元、7-11取貨付款65元,
美國GONESH,2017-06-05 08:59:41.747499,美國GONESH沉穩檀香精油線香(20枝入),99,http://www.pcstore.com.tw/bbco/M09819486.htm,,
洗衣機濾網,2017-06-05 08:59:43.887501,【特價 】東元洗衣機濾網(3個免運費)東元洗衣機棉絮過濾網.東元洗衣機過濾網,60,http://www.pcstore.com.tw/1077/M13113688.htm,,
化糞池維護,2017-06-05 08:59:43.936719,活菌博士 化糞淨活菌分解粉體菌SK50H-1Y*3cn,2700,http://www.pcstore.com.tw/jinseng/M08796439.htm,,
除蟲防蚊,2017-06-05 08:59:44.003228,法國PSA - SKIN 2P BODY 乳液型防蚊液(30ml) 三瓶組,680,http://www.pcstore.com.tw/oxygenhec/M29235257.htm,,
擦手紙,2017-06-05 08:59:44.104791,【GoodFamily】蒲公英環保擦手紙 (200張x20包/箱) *530元含運,530,http://www.pcstore.com.tw/store1466042798/M24605757.htm,,
除髒汙|水垢|鏽斑,2017-06-05 08:59:44.112656,450ml垢立淨(450毫升天然環保清潔劑.清洗玻璃門窗衛浴地板馬桶水槽.浴室廁所瓷磚汙垢清潔用品.磁磚.EPOXY去污除鏽)富崙,150,http://www.pcstore.com.tw/upacestore/M14369305.htm,,
防蚊系列,2017-06-05 08:59:44.270538,現貨 紐西蘭 防蚊孕婦敏感型 20%  100ml,610,http://www.pcstore.com.tw/store1444371279/M24095065.htm,,
好好買Good Go,2017-06-05 08:59:44.387644,萬用折疊窗框曬衣架 (2個曬衣架+82公分接管/組),199,http://seller.pcstore.com.tw/S122533209/C1092978341.htm,購物滿799 元(含)以上免運費，未滿 799 元者自付運費，宅配65元、7-11純取貨60元、7-11取貨付款60元,
團結力量大!,2017-06-05 08:59:44.530241,【貼身用品】舒潔 Viva 紙纖抹布耐水洗 (55條X2包)~免運,749,http://www.pcstore.com.tw/ibuyilike/M09825676.htm,,
遨遊飛翔,2017-06-05 08:59:45.007076,日本原裝 第一石鹼馬桶清潔劑 500ml,60,http://seller.pcstore.com.tw/S142062663/C1005721053.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
防塵口罩,2017-06-05 08:59:45.044054,【台灣淨新】防塵口罩│成人口罩│兒童口罩│50片盒│含稅附發票│另售黑色口罩,80,http://www.pcstore.com.tw/taiwanmigo/M22048150.htm,,
lilicoco 生活無限,2017-06-05 08:59:45.082408,＊lilicoco生活無限＊◇日本 P&G;衣物芳香顆粒.衣物香香豆  275g 及375g ◇(200元),200,http://seller.pcstore.com.tw/S148732493/C1083854750.htm,每筆訂單運費，宅配90元、郵局90元、7-11純取貨60元、7-11取貨付款60元,
遨遊飛翔,2017-06-05 08:59:45.189409,日本P&G;洗衣膠球-綠色防菌437g 盒裝,105,http://seller.pcstore.com.tw/S142062663/C1058675202.htm,購物滿2000 元(含)以上免運費，未滿 2000 元者自付運費，宅配70元、郵局70元、7-11純取貨70元、7-11取貨付款70元,
Abby生活百貨,2017-06-05 08:59:45.192750,Abby生活百貨》Sani Sticks 強力水管去污棒 水管疏通清潔棒 水管疏通棒 水管清潔棒 管道除臭劑 管道疏通(24元),24,http://seller.pcstore.com.tw/S110227940/C1097075786.htm,每筆訂單運費，7-11取貨付款65元,
XFO洗衣粉,2017-06-05 08:59:45.350145,盈欣電器++XFO濃縮低泡沫洗衣粉一箱8包裝-滾筒式洗衣機專用,1400,http://www.pcstore.com.tw/yingshin/M15922837.htm,,
maynishop2,2017-06-05 08:59:45.465601,(單包購買區) 台灣製~ ❤HAPPY BEBE 超純水濕紙巾❤(40元),40,http://seller.pcstore.com.tw/S156246524/C1091221482.htm,免運費送到家,
Beauty快樂購物去,2017-06-05 08:59:45.520970,清檜 檜木柑橘浴廁清潔劑 (500ml ) 現貨 團購,200,http://seller.pcstore.com.tw/S126818865/C1089936951.htm,購物滿3000 元(含)以上免運費，未滿 3000 元者自付運費，宅配80元、郵局80元、7-11取貨付款60元,
清水香,2017-06-05 08:59:45.631340,【清水香】除臭噴霧(250ml噴霧瓶裝) 5入免運特惠組,990,http://www.pcstore.com.tw/shimbi/M23468147.htm,,
翰鴨子的城堡,2017-06-05 08:59:46.122404,韓國 cocodor 小蒼蘭擴香瓶,199,http://seller.pcstore.com.tw/S155200636/C1086748439.htm,購物滿199 元(含)以上免運費，未滿 199 元者自付運費，7-11取貨付款60元,
